"Theme 1 - 2 : Persons by sex, age and marital status, 2006";;;;;;;;;;;;;
"Geographic Area";"Age Group";"Males - Total";"Males - Single";"Males - Married";"Males - Separated";"Males - Divorced";"Males - Widowed";"Females - Total";"Females - Single";"Females - Married";"Females - Separated";"Females - Divorced";"Females - Widowed"
"Dublin City 02/015";"80 - 84 years";3;0;2;0;0;1;5;1;2;0;0;2
"Dublin City 02/015";"85 years and over";1;0;1;0;0;0;0;0;0;0;0;0
"Dublin City 02/016";"0 - 4 years";20;20;0;0;0;0;28;28;0;0;0;0
"Dublin City 02/016";"5 - 9 years";26;26;0;0;0;0;26;26;0;0;0;0
"Dublin City 02/016";"10 - 14 years";18;18;0;0;0;0;26;26;0;0;0;0
"Dublin City 02/016";"15 - 19 years";23;23;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/016";"20 - 24 years";37;34;3;0;0;0;35;35;0;0;0;0
"Dublin City 02/016";"25 - 29 years";19;16;3;0;0;0;23;19;4;0;0;0
"Dublin City 02/016";"30 - 34 years";24;12;12;0;0;0;23;8;15;0;0;0
"Dublin City 02/016";"35 - 39 years";35;13;20;1;1;0;36;11;23;2;0;0
"Dublin City 02/016";"40 - 44 years";34;11;23;0;0;0;43;14;27;1;0;1
"Dublin City 02/016";"45 - 49 years";36;9;24;2;1;0;23;2;20;1;0;0
"Dublin City 02/016";"50 - 54 years";21;3;17;1;0;0;13;1;10;2;0;0
"Dublin City 02/016";"55 - 59 years";13;4;8;0;0;1;17;1;12;2;0;2
"Dublin City 02/016";"60 - 64 years";13;2;10;0;0;1;15;2;13;0;0;0
"Dublin City 02/016";"65 - 69 years";21;2;18;0;0;1;32;1;24;0;0;7
"Dublin City 02/016";"70 - 74 years";52;3;48;0;0;1;69;1;41;1;0;26
"Dublin City 02/016";"75 - 79 years";30;0;24;0;0;6;43;3;20;0;0;20
"Dublin City 02/016";"80 - 84 years";17;1;11;0;0;5;15;1;7;0;0;7
"Dublin City 02/016";"85 years and over";6;0;4;0;0;2;7;1;2;0;0;4
"Dublin City 02/017";"0 - 4 years";43;43;0;0;0;0;26;26;0;0;0;0
"Dublin City 02/017";"5 - 9 years";55;55;0;0;0;0;39;39;0;0;0;0
"Dublin City 02/017";"10 - 14 years";59;59;0;0;0;0;61;61;0;0;0;0
"Dublin City 02/017";"15 - 19 years";57;57;0;0;0;0;56;56;0;0;0;0
"Dublin City 02/017";"20 - 24 years";67;67;0;0;0;0;58;58;0;0;0;0
"Dublin City 02/017";"25 - 29 years";61;55;6;0;0;0;55;49;6;0;0;0
"Dublin City 02/017";"30 - 34 years";65;54;10;1;0;0;50;34;14;2;0;0
"Dublin City 02/017";"35 - 39 years";43;24;16;3;0;0;53;26;20;5;2;0
"Dublin City 02/017";"40 - 44 years";27;7;17;0;2;1;24;11;9;2;2;0
"Dublin City 02/017";"45 - 49 years";13;0;11;0;2;0;37;6;21;8;1;1
"Dublin City 02/017";"50 - 54 years";39;3;29;5;1;1;56;6;27;14;1;8
"Dublin City 02/017";"55 - 59 years";40;1;35;3;0;1;57;3;35;8;3;8
"Dublin City 02/017";"60 - 64 years";35;0;29;1;0;5;46;0;29;8;2;7
"Dublin City 02/017";"65 - 69 years";25;0;24;0;0;1;23;0;15;1;1;6
"Dublin City 02/017";"70 - 74 years";2;0;2;0;0;0;5;0;2;0;0;3
"Dublin City 02/017";"75 - 79 years";3;0;2;0;0;1;5;0;4;1;0;0
"Dublin City 02/017";"80 - 84 years";2;1;1;0;0;0;0;0;0;0;0;0
"Dublin City 02/017";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/018";"0 - 4 years";75;75;0;0;0;0;46;46;0;0;0;0
"Dublin City 02/018";"5 - 9 years";82;82;0;0;0;0;67;67;0;0;0;0
"Dublin City 02/018";"10 - 14 years";85;85;0;0;0;0;60;60;0;0;0;0
"Dublin City 02/018";"15 - 19 years";66;66;0;0;0;0;43;43;0;0;0;0
"Dublin City 02/018";"20 - 24 years";27;27;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/018";"25 - 29 years";22;17;5;0;0;0;50;46;2;2;0;0
"Dublin City 02/018";"30 - 34 years";25;19;6;0;0;0;56;45;9;1;1;0
"Dublin City 02/018";"35 - 39 years";29;16;10;2;0;1;71;46;12;13;0;0
"Dublin City 02/018";"40 - 44 years";23;9;10;2;2;0;38;17;13;6;1;1
"Dublin City 02/018";"45 - 49 years";17;3;9;3;1;1;13;3;4;4;2;0
"Dublin City 02/018";"50 - 54 years";11;1;6;2;0;2;12;4;7;1;0;0
"Dublin City 02/018";"55 - 59 years";9;2;3;4;0;0;14;3;2;7;0;2
"Dublin City 02/018";"60 - 64 years";6;1;3;1;0;1;8;0;4;2;0;2
"Dublin City 02/018";"65 - 69 years";7;0;2;2;1;2;4;0;1;1;0;2
"Dublin City 02/018";"70 - 74 years";4;1;1;1;0;1;3;0;1;1;0;1
"Dublin City 02/018";"75 - 79 years";1;0;1;0;0;0;1;0;0;0;1;0
"Dublin City 02/018";"80 - 84 years";1;0;0;0;0;1;0;0;0;0;0;0
"Dublin City 02/018";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/019";"0 - 4 years";41;41;0;0;0;0;41;41;0;0;0;0
"Dublin City 02/019";"5 - 9 years";63;63;0;0;0;0;53;53;0;0;0;0
"Dublin City 02/019";"10 - 14 years";53;53;0;0;0;0;41;41;0;0;0;0
"Dublin City 02/019";"15 - 19 years";42;42;0;0;0;0;48;48;0;0;0;0
"Dublin City 02/019";"20 - 24 years";29;29;0;0;0;0;28;28;0;0;0;0
"Dublin City 02/019";"25 - 29 years";34;29;5;0;0;0;42;34;7;0;0;1
"Dublin City 02/019";"30 - 34 years";26;17;8;1;0;0;52;45;6;1;0;0
"Dublin City 02/019";"35 - 39 years";32;22;7;3;0;0;55;34;12;5;4;0
"Dublin City 02/019";"40 - 44 years";22;9;8;4;1;0;39;19;8;7;2;3
"Dublin City 02/019";"45 - 49 years";26;9;13;4;0;0;29;7;11;5;3;3
"Dublin City 02/019";"50 - 54 years";16;4;9;2;0;1;18;4;5;3;3;3
"Dublin City 02/019";"55 - 59 years";19;6;2;7;3;1;19;4;6;4;1;4
"Dublin City 02/019";"60 - 64 years";24;6;11;2;3;2;19;0;10;3;0;6
"Dublin City 02/019";"65 - 69 years";30;6;14;5;2;3;20;0;12;0;0;8
"Dublin City 02/019";"70 - 74 years";16;3;8;2;0;3;13;0;5;0;0;8
"Dublin City 02/019";"75 - 79 years";10;1;3;2;0;4;4;1;2;0;0;1
"Dublin City 02/019";"80 - 84 years";4;0;2;1;0;1;7;0;2;0;0;5
"Dublin City 02/019";"85 years and over";1;0;1;0;0;0;1;0;0;0;0;1
"Dublin City 02/020";"0 - 4 years";46;46;0;0;0;0;39;39;0;0;0;0
"Dublin City 02/020";"5 - 9 years";36;36;0;0;0;0;34;34;0;0;0;0
"Dublin City 02/020";"10 - 14 years";36;36;0;0;0;0;30;30;0;0;0;0
"Dublin City 02/020";"15 - 19 years";27;26;1;0;0;0;26;23;3;0;0;0
"Dublin City 02/020";"20 - 24 years";49;44;5;0;0;0;47;42;4;0;1;0
"Dublin City 02/020";"25 - 29 years";47;33;14;0;0;0;74;60;10;4;0;0
"Dublin City 02/020";"30 - 34 years";40;24;14;1;1;0;52;31;18;2;1;0
"Dublin City 02/020";"35 - 39 years";28;8;15;4;1;0;33;20;9;2;1;1
"Dublin City 02/020";"40 - 44 years";20;9;9;1;1;0;18;8;5;4;1;0
"Dublin City 02/020";"45 - 49 years";8;1;2;2;3;0;10;4;0;1;4;1
"Dublin City 02/020";"50 - 54 years";6;1;1;3;1;0;10;1;4;5;0;0
"Dublin City 02/020";"55 - 59 years";7;3;2;1;1;0;5;4;0;0;0;1
"Dublin City 02/020";"60 - 64 years";6;2;1;2;0;1;5;1;1;2;0;1
"Dublin City 02/020";"65 - 69 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/020";"70 - 74 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/020";"75 - 79 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/020";"80 - 84 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/020";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/021";"0 - 4 years";62;62;0;0;0;0;52;52;0;0;0;0
"Dublin City 02/021";"5 - 9 years";61;61;0;0;0;0;59;59;0;0;0;0
"Dublin City 02/021";"10 - 14 years";56;56;0;0;0;0;50;50;0;0;0;0
"Dublin City 02/021";"15 - 19 years";61;61;0;0;0;0;33;32;1;0;0;0
"Dublin City 02/021";"20 - 24 years";84;81;3;0;0;0;60;58;2;0;0;0
"Dublin City 02/021";"25 - 29 years";60;48;12;0;0;0;76;65;9;1;0;1
"Dublin City 02/021";"30 - 34 years";44;27;15;2;0;0;55;38;14;3;0;0
"Dublin City 02/021";"35 - 39 years";36;21;14;1;0;0;52;29;8;11;3;1
"Dublin City 02/021";"40 - 44 years";36;15;9;10;2;0;45;22;10;5;5;3
"Dublin City 02/021";"45 - 49 years";27;10;12;1;4;0;42;16;9;14;1;2
"Dublin City 02/021";"50 - 54 years";18;7;6;3;1;1;22;2;7;6;4;3
"Dublin City 02/021";"55 - 59 years";16;1;10;2;2;1;19;3;8;6;1;1
"Dublin City 02/021";"60 - 64 years";15;1;9;3;1;1;17;1;6;3;0;7
"Dublin City 02/021";"65 - 69 years";17;0;9;1;0;7;13;1;9;0;0;3
"Dublin City 02/021";"70 - 74 years";8;2;4;2;0;0;17;2;3;1;0;11
"Dublin City 02/021";"75 - 79 years";4;0;3;0;0;1;13;0;2;2;1;8
"Dublin City 02/021";"80 - 84 years";0;0;0;0;0;0;5;1;0;0;0;4
"Dublin City 02/021";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Dublin City 02/022";"0 - 4 years";45;45;0;0;0;0;44;44;0;0;0;0
"Dublin City 02/022";"5 - 9 years";46;46;0;0;0;0;52;52;0;0;0;0
"Dublin City 02/022";"10 - 14 years";47;47;0;0;0;0;68;68;0;0;0;0
"Dublin City 02/022";"15 - 19 years";53;53;0;0;0;0;51;51;0;0;0;0
"Dublin City 02/022";"20 - 24 years";49;49;0;0;0;0;42;42;0;0;0;0
"Dublin City 02/022";"25 - 29 years";51;43;8;0;0;0;35;28;7;0;0;0
"Dublin City 02/022";"30 - 34 years";37;27;10;0;0;0;48;34;14;0;0;0
"Dublin City 02/022";"35 - 39 years";44;26;15;3;0;0;57;35;18;2;1;1
"Dublin City 02/022";"40 - 44 years";25;9;11;2;1;2;33;13;12;6;2;0
"Dublin City 02/022";"45 - 49 years";24;6;14;2;2;0;21;6;8;5;0;2
"Dublin City 02/022";"50 - 54 years";28;9;11;5;2;1;26;1;18;4;2;1
"Dublin City 02/022";"55 - 59 years";40;2;28;3;2;5;43;4;24;7;2;6
"Dublin City 02/022";"60 - 64 years";46;3;32;5;1;5;72;4;51;7;0;10
"Dublin City 02/022";"65 - 69 years";44;2;32;3;1;6;27;0;15;3;0;9
"Dublin City 02/022";"70 - 74 years";20;2;11;2;0;5;20;1;10;2;0;7
"Dublin City 02/022";"75 - 79 years";7;0;6;1;0;0;10;1;3;0;0;6
"Dublin City 02/022";"80 - 84 years";3;0;0;0;0;3;3;2;0;0;0;1
"Dublin City 02/022";"85 years and over";2;0;0;0;0;2;4;2;0;0;0;2
"Dublin City 02/023";"0 - 4 years";43;43;0;0;0;0;38;38;0;0;0;0
"Dublin City 02/023";"5 - 9 years";46;46;0;0;0;0;40;40;0;0;0;0
"Dublin City 02/023";"10 - 14 years";41;41;0;0;0;0;50;50;0;0;0;0
"Dublin City 02/023";"15 - 19 years";67;66;1;0;0;0;69;69;0;0;0;0
"Dublin City 02/023";"20 - 24 years";66;66;0;0;0;0;49;49;0;0;0;0
"Dublin City 02/023";"25 - 29 years";41;37;4;0;0;0;42;38;4;0;0;0
"Dublin City 02/023";"30 - 34 years";53;42;11;0;0;0;36;23;13;0;0;0
"Dublin City 02/023";"35 - 39 years";40;27;11;2;0;0;45;26;12;6;0;1
"Dublin City 02/023";"40 - 44 years";30;11;16;2;0;1;38;13;18;4;0;3
"Dublin City 02/023";"45 - 49 years";25;4;17;3;0;1;29;2;13;9;3;2
"Dublin City 02/023";"50 - 54 years";18;1;14;0;1;2;23;2;11;2;0;8
"Dublin City 02/023";"55 - 59 years";27;1;22;0;2;2;44;2;26;9;0;7
"Dublin City 02/023";"60 - 64 years";31;0;25;2;0;4;53;4;31;6;2;10
"Dublin City 02/023";"65 - 69 years";21;0;17;1;0;3;17;1;8;0;0;8
"Dublin City 02/023";"70 - 74 years";12;0;10;0;0;2;14;0;5;1;0;8
"Dublin City 02/023";"75 - 79 years";5;0;3;0;0;2;7;0;3;1;0;3
"Dublin City 02/023";"80 - 84 years";1;0;0;0;0;1;0;0;0;0;0;0
"Dublin City 02/023";"85 years and over";0;0;0;0;0;0;1;0;0;0;0;1
"Dublin City 02/024";"0 - 4 years";58;58;0;0;0;0;71;71;0;0;0;0
"Dublin City 02/024";"5 - 9 years";53;53;0;0;0;0;60;60;0;0;0;0
"Dublin City 02/024";"10 - 14 years";61;61;0;0;0;0;46;46;0;0;0;0
"Dublin City 02/024";"15 - 19 years";55;52;3;0;0;0;41;34;7;0;0;0
"Dublin City 02/024";"20 - 24 years";105;88;17;0;0;0;94;73;18;1;1;1
"Dublin City 02/024";"25 - 29 years";94;67;23;3;0;1;88;55;29;3;1;0
"Dublin City 02/024";"30 - 34 years";74;33;33;3;5;0;63;35;21;3;4;0
"Dublin City 02/024";"35 - 39 years";45;17;21;3;4;0;49;29;12;5;2;1
"Dublin City 02/024";"40 - 44 years";20;3;13;3;1;0;28;11;11;6;0;0
"Dublin City 02/024";"45 - 49 years";18;3;10;0;2;3;20;3;9;5;1;2
"Dublin City 02/024";"50 - 54 years";11;3;2;2;1;3;10;4;3;0;1;2
"Dublin City 02/024";"55 - 59 years";13;2;7;2;1;1;12;2;5;3;0;2
"Dublin City 02/024";"60 - 64 years";6;3;2;1;0;0;7;0;3;3;0;1
"Dublin City 02/024";"65 - 69 years";3;0;1;0;0;2;3;0;1;2;0;0
"Dublin City 02/024";"70 - 74 years";0;0;0;0;0;0;1;0;1;0;0;0
"Dublin City 02/024";"75 - 79 years";4;1;2;1;0;0;1;0;1;0;0;0
"Dublin City 02/024";"80 - 84 years";2;0;2;0;0;0;1;0;0;0;0;1
"Dublin City 02/024";"85 years and over";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/025";"0 - 4 years";11;11;0;0;0;0;7;7;0;0;0;0
"Dublin City 02/025";"5 - 9 years";14;14;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/025";"10 - 14 years";24;24;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/025";"15 - 19 years";17;17;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/025";"20 - 24 years";13;13;0;0;0;0;5;5;0;0;0;0
"Dublin City 02/025";"25 - 29 years";7;7;0;0;0;0;13;12;0;1;0;0
"Dublin City 02/025";"30 - 34 years";8;6;2;0;0;0;14;12;2;0;0;0
"Dublin City 02/025";"35 - 39 years";7;2;4;1;0;0;13;7;6;0;0;0
"Dublin City 02/025";"40 - 44 years";10;4;3;2;0;1;10;3;2;5;0;0
"Dublin City 02/025";"45 - 49 years";4;0;3;1;0;0;9;3;2;3;1;0
"Dublin City 02/025";"50 - 54 years";8;4;1;1;1;1;5;1;2;1;0;1
"Dublin City 02/025";"55 - 59 years";6;2;4;0;0;0;9;0;3;5;1;0
"Dublin City 02/025";"60 - 64 years";3;0;0;1;1;1;4;0;2;1;0;1
"Dublin City 02/025";"65 - 69 years";7;1;4;1;0;1;7;0;4;0;0;3
"Dublin City 02/025";"70 - 74 years";6;0;4;0;0;2;5;0;4;0;0;1
"Dublin City 02/025";"75 - 79 years";3;0;2;0;0;1;2;0;0;0;0;2
"Dublin City 02/025";"80 - 84 years";0;0;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/025";"85 years and over";1;1;0;0;0;0;0;0;0;0;0;0
"Dublin City 02/026";"0 - 4 years";14;14;0;0;0;0;16;16;0;0;0;0
"Dublin City 02/026";"5 - 9 years";18;18;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/026";"10 - 14 years";27;27;0;0;0;0;20;20;0;0;0;0
"Dublin City 02/026";"15 - 19 years";22;22;0;0;0;0;30;30;0;0;0;0
"Dublin City 02/026";"20 - 24 years";36;34;2;0;0;0;39;39;0;0;0;0
"Dublin City 02/026";"25 - 29 years";27;25;1;1;0;0;25;25;0;0;0;0
"Dublin City 02/026";"30 - 34 years";25;19;4;1;1;0;29;19;10;0;0;0
"Dublin City 02/026";"35 - 39 years";31;11;17;3;0;0;25;10;11;2;2;0
"Dublin City 02/026";"40 - 44 years";27;5;22;0;0;0;35;9;23;1;1;1
"Dublin City 02/026";"45 - 49 years";30;7;22;0;1;0;23;3;18;1;1;0
"Dublin City 02/026";"50 - 54 years";26;4;19;2;1;0;32;6;22;3;0;1
"Dublin City 02/026";"55 - 59 years";25;3;19;1;1;1;35;4;27;3;1;0
"Dublin City 02/026";"60 - 64 years";32;2;26;2;1;1;37;3;25;3;0;6
"Dublin City 02/026";"65 - 69 years";18;0;17;1;0;0;19;3;11;3;0;2
"Dublin City 02/026";"70 - 74 years";17;0;13;0;0;4;25;1;16;0;0;8
"Dublin City 02/026";"75 - 79 years";28;2;21;1;0;4;31;4;15;0;0;12
"Dublin City 02/026";"80 - 84 years";11;2;8;0;0;1;13;0;5;0;0;8
"Dublin City 02/026";"85 years and over";5;0;2;0;0;3;8;1;3;0;0;4
"Dublin City 02/027";"0 - 4 years";18;18;0;0;0;0;11;11;0;0;0;0
"Dublin City 02/027";"5 - 9 years";23;23;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/027";"10 - 14 years";15;15;0;0;0;0;18;18;0;0;0;0
"Dublin City 02/027";"15 - 19 years";24;24;0;0;0;0;20;20;0;0;0;0
"Dublin City 02/027";"20 - 24 years";37;35;2;0;0;0;27;26;1;0;0;0
"Dublin City 02/027";"25 - 29 years";18;16;2;0;0;0;31;29;2;0;0;0
"Dublin City 02/027";"30 - 34 years";30;25;5;0;0;0;19;12;7;0;0;0
"Dublin City 02/027";"35 - 39 years";25;12;12;1;0;0;24;10;13;1;0;0
"Dublin City 02/027";"40 - 44 years";24;5;19;0;0;0;29;7;22;0;0;0
"Dublin City 02/027";"45 - 49 years";18;3;15;0;0;0;21;5;13;2;0;1
"Dublin City 02/027";"50 - 54 years";11;1;10;0;0;0;11;3;6;1;1;0
"Dublin City 02/027";"55 - 59 years";27;0;25;1;0;1;38;1;35;1;0;1
"Dublin City 02/027";"60 - 64 years";52;3;47;0;1;1;54;0;50;2;0;2
"Dublin City 02/027";"65 - 69 years";40;0;36;1;1;2;49;1;40;0;1;7
"Dublin City 02/027";"70 - 74 years";38;0;35;1;0;2;35;2;22;0;0;11
"Dublin City 02/027";"75 - 79 years";12;0;7;0;0;5;16;1;7;0;0;8
"Dublin City 02/027";"80 - 84 years";11;0;10;0;0;1;11;2;4;0;0;5
"Dublin City 02/027";"85 years and over";1;0;0;0;0;1;5;0;0;0;0;5
"Dublin City 02/028";"0 - 4 years";23;23;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/028";"5 - 9 years";29;29;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/028";"10 - 14 years";22;22;0;0;0;0;27;27;0;0;0;0
"Dublin City 02/028";"15 - 19 years";19;19;0;0;0;0;30;30;0;0;0;0
"Dublin City 02/028";"20 - 24 years";44;43;1;0;0;0;59;56;3;0;0;0
"Dublin City 02/028";"25 - 29 years";41;37;4;0;0;0;41;32;8;1;0;0
"Dublin City 02/028";"30 - 34 years";35;19;16;0;0;0;24;12;11;1;0;0
"Dublin City 02/028";"35 - 39 years";24;9;15;0;0;0;34;13;19;1;1;0
"Dublin City 02/028";"40 - 44 years";30;7;19;2;1;1;29;11;16;1;0;1
"Dublin City 02/028";"45 - 49 years";22;3;17;1;1;0;33;9;19;4;0;1
"Dublin City 02/028";"50 - 54 years";26;3;19;3;1;0;30;11;14;2;2;1
"Dublin City 02/028";"55 - 59 years";23;4;15;1;2;1;26;2;17;2;1;4
"Dublin City 02/028";"60 - 64 years";29;7;18;2;0;2;28;1;20;1;0;6
"Dublin City 02/028";"65 - 69 years";20;4;13;2;0;1;25;2;13;4;0;6
"Dublin City 02/028";"70 - 74 years";10;2;6;1;0;1;10;1;5;1;0;3
"Dublin City 02/028";"75 - 79 years";9;1;4;1;0;3;30;7;6;1;0;16
"Dublin City 02/028";"80 - 84 years";5;0;3;0;0;2;14;7;1;0;0;6
"Dublin City 02/028";"85 years and over";6;0;4;0;0;2;11;2;1;1;0;7
"Dublin City 02/029";"0 - 4 years";15;15;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/029";"5 - 9 years";9;9;0;0;0;0;11;11;0;0;0;0
"Dublin City 02/029";"10 - 14 years";21;21;0;0;0;0;14;14;0;0;0;0
"Dublin City 02/029";"15 - 19 years";16;16;0;0;0;0;25;25;0;0;0;0
"Dublin City 02/029";"20 - 24 years";35;35;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/029";"25 - 29 years";32;30;2;0;0;0;28;26;2;0;0;0
"Dublin City 02/029";"30 - 34 years";37;33;4;0;0;0;20;15;4;1;0;0
"Dublin City 02/029";"35 - 39 years";25;16;9;0;0;0;35;20;13;1;1;0
"Dublin City 02/029";"40 - 44 years";24;11;12;1;0;0;22;8;10;1;3;0
"Dublin City 02/029";"45 - 49 years";27;10;16;1;0;0;24;5;17;0;2;0
"Dublin City 02/029";"50 - 54 years";28;4;21;1;2;0;32;3;23;5;0;1
"Dublin City 02/029";"55 - 59 years";21;1;15;4;1;0;26;3;19;1;2;1
"Dublin City 02/029";"60 - 64 years";31;4;23;3;1;0;33;2;27;2;2;0
"Dublin City 02/029";"65 - 69 years";29;4;21;2;1;1;18;4;7;1;1;5
"Dublin City 02/029";"70 - 74 years";28;9;11;5;0;3;32;4;17;2;0;9
"Dublin City 02/029";"75 - 79 years";21;4;10;2;0;5;24;7;5;0;0;12
"Dublin City 02/029";"80 - 84 years";20;8;9;0;0;3;41;9;10;0;0;22
"Dublin City 02/029";"85 years and over";19;8;5;1;0;5;48;16;2;0;0;30
"Dublin City 02/030";"0 - 4 years";21;21;0;0;0;0;28;28;0;0;0;0
"Dublin City 02/030";"5 - 9 years";28;28;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/030";"10 - 14 years";29;29;0;0;0;0;26;26;0;0;0;0
"Dublin City 02/030";"15 - 19 years";32;32;0;0;0;0;20;20;0;0;0;0
"Dublin City 02/030";"20 - 24 years";31;30;1;0;0;0;38;38;0;0;0;0
"Dublin City 02/030";"25 - 29 years";33;30;3;0;0;0;21;18;3;0;0;0
"Dublin City 02/030";"30 - 34 years";28;10;18;0;0;0;29;13;15;1;0;0
"Dublin City 02/030";"35 - 39 years";35;14;21;0;0;0;38;9;27;1;1;0
"Dublin City 02/030";"40 - 44 years";35;14;20;1;0;0;38;13;16;5;2;2
"Dublin City 02/030";"45 - 49 years";30;6;20;3;1;0;43;12;25;5;1;0
"Dublin City 02/030";"50 - 54 years";28;4;18;3;3;0;25;6;17;1;1;0
"Dublin City 02/030";"55 - 59 years";15;4;11;0;0;0;15;3;8;3;0;1
"Dublin City 02/030";"60 - 64 years";9;2;6;1;0;0;12;2;8;1;0;1
"Dublin City 02/030";"65 - 69 years";18;2;13;1;0;2;29;6;15;0;1;7
"Dublin City 02/030";"70 - 74 years";30;6;21;2;0;1;38;2;20;1;0;15
"Dublin City 02/030";"75 - 79 years";29;0;16;0;0;13;47;3;17;0;0;27
"Dublin City 02/030";"80 - 84 years";23;0;14;0;0;9;27;2;4;0;0;21
"Dublin City 02/030";"85 years and over";11;1;4;0;0;6;34;3;5;0;0;26
"Dublin City 02/031";"0 - 4 years";18;18;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/031";"5 - 9 years";17;17;0;0;0;0;17;17;0;0;0;0
"Dublin City 02/031";"10 - 14 years";29;29;0;0;0;0;20;20;0;0;0;0
"Dublin City 02/031";"15 - 19 years";17;17;0;0;0;0;19;19;0;0;0;0
"Dublin City 02/031";"20 - 24 years";26;26;0;0;0;0;21;21;0;0;0;0
"Dublin City 02/031";"25 - 29 years";28;26;1;1;0;0;21;19;2;0;0;0
"Dublin City 02/031";"30 - 34 years";30;18;12;0;0;0;25;10;14;1;0;0
"Dublin City 02/031";"35 - 39 years";26;13;12;1;0;0;30;19;8;2;1;0
"Dublin City 02/031";"40 - 44 years";25;11;9;4;1;0;32;14;15;2;1;0
"Dublin City 02/031";"45 - 49 years";25;10;12;1;1;1;27;6;13;5;3;0
"Dublin City 02/031";"50 - 54 years";25;10;12;3;0;0;16;3;9;2;1;1
"Dublin City 02/031";"55 - 59 years";22;6;11;3;0;2;17;2;12;1;0;2
"Dublin City 02/031";"60 - 64 years";14;2;10;1;1;0;16;2;13;0;0;1
"Dublin City 02/031";"65 - 69 years";14;0;10;2;0;2;25;2;13;2;1;7
"Dublin City 02/031";"70 - 74 years";35;5;18;3;1;8;45;5;22;1;0;17
"Dublin City 02/031";"75 - 79 years";33;2;26;0;0;5;34;3;15;0;0;16
"Dublin City 02/031";"80 - 84 years";13;0;10;0;0;3;22;1;8;0;0;13
"Dublin City 02/031";"85 years and over";8;1;5;0;0;2;6;1;2;0;0;3
"Dublin City 02/032";"0 - 4 years";37;37;0;0;0;0;32;32;0;0;0;0
"Dublin City 02/032";"5 - 9 years";38;38;0;0;0;0;40;40;0;0;0;0
"Dublin City 02/032";"10 - 14 years";31;31;0;0;0;0;37;37;0;0;0;0
"Dublin City 02/032";"15 - 19 years";42;42;0;0;0;0;45;45;0;0;0;0
"Dublin City 02/032";"20 - 24 years";33;32;1;0;0;0;45;43;2;0;0;0
"Dublin City 02/032";"25 - 29 years";30;26;4;0;0;0;26;23;3;0;0;0
"Dublin City 02/032";"30 - 34 years";28;16;12;0;0;0;28;17;11;0;0;0
"Dublin City 02/032";"35 - 39 years";37;23;14;0;0;0;56;29;22;2;2;1
"Dublin City 02/032";"40 - 44 years";39;17;15;3;4;0;33;12;16;5;0;0
"Dublin City 02/032";"45 - 49 years";36;12;17;6;0;1;33;10;13;5;2;3
"Dublin City 02/032";"50 - 54 years";24;6;14;1;3;0;33;7;19;4;1;2
"Dublin City 02/032";"55 - 59 years";29;8;17;1;2;1;19;3;10;5;0;1
"Dublin City 02/032";"60 - 64 years";14;2;7;1;3;1;10;0;9;1;0;0
"Dublin City 02/032";"65 - 69 years";14;2;10;0;0;2;19;3;10;1;0;5
"Dublin City 02/032";"70 - 74 years";12;0;9;0;0;3;19;0;10;0;0;9
"Dublin City 02/032";"75 - 79 years";10;0;8;0;0;2;13;0;5;0;0;8
"Dublin City 02/032";"80 - 84 years";8;1;6;0;0;1;17;1;4;1;0;11
"Dublin City 02/032";"85 years and over";6;0;2;0;0;4;8;0;1;0;0;7
"Dublin City 02/033";"0 - 4 years";20;20;0;0;0;0;18;18;0;0;0;0
"Dublin City 02/033";"5 - 9 years";27;27;0;0;0;0;37;37;0;0;0;0
"Dublin City 02/033";"10 - 14 years";39;39;0;0;0;0;35;35;0;0;0;0
"Dublin City 02/033";"15 - 19 years";43;43;0;0;0;0;47;47;0;0;0;0
"Dublin City 02/033";"20 - 24 years";60;58;2;0;0;0;56;55;1;0;0;0
"Dublin City 02/033";"25 - 29 years";43;41;2;0;0;0;39;37;2;0;0;0
"Dublin City 02/033";"30 - 34 years";21;14;6;1;0;0;27;20;7;0;0;0
